sample_id,image_id,file_name,annotation_id,gt_class,category_id,bbox_x,bbox_y,bbox_w,bbox_h,area,native_short_side,size_bin,context_side,variant_a,variant_b,variant_c
S0016,336,0000289_06601_d_0000844.jpg,20985,bicycle,2,823.0,173.0,10.0,22.0,220.0,10.0,tiny,88.0,sim960,native,sim640
S0017,110,0000194_00000_d_0000119.jpg,6232,bicycle,2,512.0,160.0,7.0,10.0,70.01,7.0,micro,64.0,sim960,native,sim640
S0018,466,0000335_01961_d_0000053.jpg,33891,bicycle,2,429.0,216.0,11.0,23.0,252.99,11.0,tiny,92.0,sim960,native,sim640
S0019,200,0000271_03001_d_0000387.jpg,12382,motorcycle,6,535.0,28.0,15.0,11.0,164.99,11.0,tiny,64.0,sim640,native,sim960
S0020,231,0000276_03201_d_0000523.jpg,14298,car,3,586.0,215.0,10.0,8.0,80.0,8.0,tiny,64.0,sim960,sim640,native
S0021,343,0000291_00401_d_0000870.jpg,21743,bus,5,637.0,89.0,15.0,9.0,135.0,9.0,tiny,64.0,sim640,native,sim960
S0022,322,0000289_03801_d_0000830.jpg,19823,motorcycle,6,739.0,25.0,19.0,13.0,247.0,13.0,tiny,76.0,native,sim960,sim640
S0023,252,0000277_02201_d_0000550.jpg,15397,motorcycle,6,250.0,63.0,9.0,15.0,135.01,9.0,tiny,64.0,sim640,sim960,native
S0024,196,0000271_01401_d_0000380.jpg,12106,car,3,671.0,59.0,24.0,22.0,528.0,22.0,small,96.0,sim960,native,sim640
S0025,253,0000277_02401_d_0000551.jpg,15452,car,3,536.0,97.0,32.0,23.0,735.98,23.0,small,128.0,native,sim640,sim960
S0026,193,0000271_00601_d_0000377.jpg,11916,bicycle,2,386.0,327.0,24.0,37.0,888.0,24.0,small,148.0,sim960,native,sim640
S0027,79,0000153_01601_d_0000001.jpg,4014,motorcycle,6,545.0,268.0,8.0,7.0,56.0,7.0,micro,64.0,sim960,native,sim640
S0028,69,0000117_00112_d_0000087.jpg,3296,person,1,43.0,192.0,17.0,36.0,612.0,17.0,small,144.0,sim640,native,sim960
S0029,112,0000194_00399_d_0000121.jpg,6386,bicycle,2,430.0,260.0,7.0,15.0,105.01,7.0,micro,64.0,sim640,sim960,native
S0030,382,0000301_01201_d_0000162.jpg,27905,person,1,1006.0,195.0,13.0,24.0,312.01,13.0,tiny,96.0,sim640,sim960,native
S0031,341,0000291_00001_d_0000868.jpg,21482,truck,4,774.0,419.0,5.0,8.0,40.0,5.0,micro,64.0,native,sim640,sim960
S0032,449,0000333_01961_d_0000011.jpg,32903,bicycle,2,462.0,560.0,13.0,13.0,169.0,13.0,tiny,64.0,sim640,sim960,native
S0033,190,0000271_00001_d_0000374.jpg,11749,bicycle,2,315.0,40.0,26.0,17.0,442.0,17.0,small,104.0,sim960,sim640,native
S0034,127,0000215_00000_d_0000256.jpg,7845,person,1,425.0,106.0,5.0,14.0,69.99,5.0,micro,64.0,sim960,sim640,native
S0035,435,0000330_01401_d_0000807.jpg,31863,motorcycle,6,690.0,180.0,50.0,20.0,1000.02,20.0,small,200.0,native,sim960,sim640
S0036,501,0000356_03725_d_0000648.jpg,36248,motorcycle,6,79.0,105.0,12.0,20.0,240.01,12.0,tiny,80.0,sim640,native,sim960
S0037,363,0000295_00000_d_0000021.jpg,24751,bicycle,2,1068.0,568.0,28.0,31.0,867.99,28.0,small,124.0,sim960,native,sim640
S0038,362,0000293_03601_d_0000940.jpg,24588,motorcycle,6,1000.0,335.0,23.0,16.0,368.0,16.0,small,92.0,sim640,native,sim960
S0039,523,0000360_00589_d_0000716.jpg,37516,person,1,752.0,96.0,12.0,24.0,288.02,12.0,tiny,96.0,native,sim640,sim960
S0040,221,0000276_01001_d_0000512.jpg,13940,bus,5,667.0,3.0,7.0,9.0,63.0,7.0,micro,64.0,sim960,sim640,native
S0041,400,0000316_00601_d_0000522.jpg,29319,motorcycle,6,597.0,193.0,5.0,9.0,45.0,5.0,micro,64.0,native,sim960,sim640
S0042,429,0000330_00201_d_0000801.jpg,31188,motorcycle,6,747.0,148.0,7.0,14.0,98.0,7.0,micro,64.0,sim640,native,sim960
S0043,185,0000256_02173_d_0000030.jpg,11397,person,1,684.0,149.0,9.0,24.0,216.01,9.0,tiny,96.0,sim640,sim960,native
S0044,158,0000244_00001_d_0000001.jpg,9268,bus,5,496.0,190.0,19.0,23.0,437.01,19.0,small,92.0,sim960,sim640,native
S0045,136,0000216_00520_d_0000001.jpg,8463,bicycle,2,674.0,544.0,5.0,16.0,79.99,5.0,micro,64.0,native,sim640,sim960
S0046,224,0000276_01801_d_0000516.jpg,14054,truck,4,690.0,148.0,5.0,7.0,34.99,5.0,micro,64.0,sim960,native,sim640
S0047,219,0000276_00401_d_0000509.jpg,13892,truck,4,717.0,4.0,6.0,10.0,60.0,6.0,micro,64.0,native,sim640,sim960
S0048,191,0000271_00201_d_0000375.jpg,11824,bicycle,2,104.0,282.0,35.0,18.0,629.98,18.0,small,140.0,native,sim960,sim640
S0049,182,0000249_03900_d_0000011.jpg,11138,truck,4,860.0,254.0,10.0,14.0,140.0,10.0,tiny,64.0,sim960,sim640,native
S0050,344,0000291_00601_d_0000871.jpg,21848,person,1,524.0,200.0,16.0,35.0,560.02,16.0,small,140.0,native,sim960,sim640
S0051,171,0000244_06388_d_0000014.jpg,10410,bus,5,513.0,414.0,21.0,20.0,420.0,20.0,small,84.0,native,sim960,sim640
S0052,63,0000115_00796_d_0000081.jpg,2888,person,1,4.0,276.0,12.0,24.0,288.0,12.0,tiny,96.0,sim960,native,sim640
S0053,107,0000193_02416_d_0000116.jpg,6093,motorcycle,6,518.0,296.0,7.0,16.0,112.01,7.0,micro,64.0,sim640,native,sim960
S0054,163,0000244_02500_d_0000006.jpg,9732,truck,4,375.0,314.0,18.0,24.0,432.0,18.0,small,96.0,sim960,native,sim640
S0055,178,0000249_02073_d_0000007.jpg,10879,bus,5,474.0,167.0,6.0,8.0,48.0,6.0,micro,64.0,sim960,sim640,native
S0056,184,0000256_00715_d_0000019.jpg,11307,truck,4,406.0,177.0,9.0,12.0,108.0,9.0,tiny,64.0,sim960,native,sim640
S0057,109,0000193_02725_d_0000118.jpg,6188,person,1,438.0,162.0,7.0,11.0,77.0,7.0,micro,64.0,sim960,native,sim640
S0058,522,0000360_00393_d_0000715.jpg,37490,bicycle,2,744.0,80.0,9.0,17.0,153.01,9.0,tiny,68.0,sim960,sim640,native
S0059,510,0000359_00589_d_0000702.jpg,37018,bicycle,2,290.0,205.0,11.0,26.0,285.99,11.0,tiny,104.0,sim640,sim960,native
S0060,374,0000295_02400_d_0000033.jpg,26843,bus,5,478.0,219.0,15.0,21.0,314.99,15.0,tiny,84.0,sim640,sim960,native
S0061,174,0000249_00603_d_0000003.jpg,10654,bus,5,625.0,188.0,6.0,7.0,42.0,6.0,micro,64.0,native,sim960,sim640
S0062,303,0000287_04801_d_0000781.jpg,18838,person,1,306.0,228.0,10.0,14.0,140.0,10.0,tiny,64.0,sim960,sim640,native
S0063,62,0000115_00315_d_0000080.jpg,2829,motorcycle,6,500.0,197.0,4.0,7.0,28.0,4.0,micro,64.0,sim960,sim640,native
S0064,413,0000327_00601_d_0000714.jpg,29830,person,1,641.0,0.0,6.0,11.0,66.0,6.0,micro,64.0,native,sim960,sim640
S0065,355,0000291_03601_d_0000886.jpg,23630,motorcycle,6,677.0,89.0,32.0,25.0,799.99,25.0,small,128.0,sim960,sim640,native
S0066,74,0000129_02411_d_0000138.jpg,3613,bicycle,2,475.0,161.0,6.0,21.0,126.0,6.0,micro,84.0,sim640,sim960,native
S0067,170,0000244_05900_d_0000013.jpg,10393,bus,5,468.0,268.0,4.0,6.0,24.0,4.0,micro,64.0,sim960,native,sim640
S0068,246,0000277_00201_d_0000540.jpg,14862,car,3,874.0,108.0,12.0,12.0,144.01,12.0,tiny,64.0,native,sim640,sim960
S0069,458,0000333_03725_d_0000020.jpg,33497,truck,4,634.0,183.0,37.0,19.0,703.01,19.0,small,148.0,sim960,sim640,native
S0070,506,0000356_04901_d_0000654.jpg,36730,car,3,401.0,2.0,24.0,12.0,287.99,12.0,tiny,96.0,sim640,native,sim960
S0071,367,0000295_01000_d_0000026.jpg,25396,bus,5,678.0,228.0,15.0,24.0,359.99,15.0,tiny,96.0,sim640,native,sim960
S0072,172,0000249_00001_d_0000001.jpg,10462,truck,4,376.0,301.0,23.0,20.0,459.99,20.0,small,92.0,native,sim960,sim640
S0073,544,0000364_01177_d_0000799.jpg,38475,motorcycle,6,351.0,201.0,23.0,20.0,459.99,20.0,small,92.0,native,sim640,sim960
S0074,394,0000313_06601_d_0000469.jpg,28940,car,3,228.0,362.0,20.0,6.0,120.0,6.0,micro,80.0,sim960,native,sim640
S0075,229,0000276_02801_d_0000521.jpg,14225,truck,4,589.0,118.0,15.0,22.0,329.99,15.0,tiny,88.0,native,sim640,sim960
S0076,244,0000276_06001_d_0000537.jpg,14708,truck,4,552.0,2.0,6.0,8.0,48.0,6.0,micro,64.0,sim960,sim640,native
S0077,469,0000335_02745_d_0000057.jpg,34163,car,3,667.0,42.0,7.0,8.0,56.0,7.0,micro,64.0,native,sim640,sim960
S0078,7,0000001_07999_d_0000012.jpg,845,person,1,675.0,1037.0,14.0,28.0,392.02,14.0,tiny,112.0,sim640,sim960,native
S0079,261,0000277_04601_d_0000561.jpg,16092,truck,4,132.0,1.0,15.0,14.0,210.0,14.0,tiny,64.0,native,sim960,sim640
S0080,156,0000242_06010_d_0000017.jpg,9225,bus,5,463.0,202.0,7.0,10.0,70.01,7.0,micro,64.0,sim960,sim640,native
S0081,256,0000277_03401_d_0000555.jpg,15761,truck,4,908.0,111.0,14.0,15.0,210.0,14.0,tiny,64.0,sim960,native,sim640
S0082,345,0000291_01001_d_0000873.jpg,21989,car,3,709.0,26.0,50.0,16.0,800.01,16.0,small,200.0,sim960,native,sim640
S0083,388,0000312_01001_d_0000419.jpg,28464,bicycle,2,43.0,175.0,19.0,27.0,513.01,19.0,small,108.0,native,sim640,sim960
S0084,183,0000253_00001_d_0000001.jpg,11259,bus,5,507.0,52.0,14.0,39.0,545.99,14.0,tiny,156.0,native,sim640,sim960
S0085,177,0000249_01635_d_0000006.jpg,10788,bus,5,512.0,190.0,7.0,11.0,77.0,7.0,micro,64.0,sim640,sim960,native
S0086,215,0000271_07201_d_0000408.jpg,13696,motorcycle,6,721.0,199.0,8.0,16.0,127.99,8.0,tiny,64.0,sim640,sim960,native
S0087,160,0000244_01000_d_0000003.jpg,9349,truck,4,404.0,26.0,18.0,7.0,126.0,7.0,micro,72.0,native,sim640,sim960
S0088,271,0000280_01601_d_0000620.jpg,17049,truck,4,681.0,161.0,12.0,17.0,204.01,12.0,tiny,68.0,sim640,sim960,native
S0089,89,0000155_00801_d_0000001.jpg,4808,person,1,424.0,164.0,4.0,13.0,52.0,4.0,micro,64.0,sim640,sim960,native
S0090,381,0000301_01001_d_0000161.jpg,27815,car,3,575.0,62.0,7.0,7.0,49.0,7.0,micro,64.0,sim960,sim640,native
S0091,432,0000330_00801_d_0000804.jpg,31582,car,3,639.0,32.0,8.0,7.0,55.99,7.0,micro,64.0,native,sim960,sim640
S0092,257,0000277_03601_d_0000556.jpg,15856,person,1,0.0,278.0,18.0,32.0,575.99,18.0,small,128.0,native,sim960,sim640
S0093,83,0000154_00801_d_0000001.jpg,4284,bicycle,2,400.0,289.0,5.0,10.0,50.0,5.0,micro,64.0,native,sim640,sim960
S0094,76,0000153_00401_d_0000001.jpg,3845,bicycle,2,282.0,275.0,9.0,19.0,171.0,9.0,tiny,76.0,sim960,sim640,native
S0095,366,0000295_00800_d_0000025.jpg,25083,person,1,204.0,475.0,7.0,22.0,154.0,7.0,micro,88.0,sim640,native,sim960
S0096,235,0000276_04001_d_0000527.jpg,14500,truck,4,1252.0,263.0,27.0,26.0,702.0,26.0,small,108.0,native,sim960,sim640
S0097,396,0000315_01601_d_0000509.jpg,29108,truck,4,674.0,227.0,16.0,20.0,320.01,16.0,small,80.0,sim960,sim640,native
S0098,319,0000289_03201_d_0000827.jpg,19542,bicycle,2,575.0,116.0,13.0,20.0,260.01,13.0,tiny,80.0,native,sim960,sim640
S0099,359,0000291_04401_d_0000890.jpg,24153,bus,5,800.0,-0.0,37.0,19.0,703.01,19.0,small,148.0,native,sim960,sim640
S0100,181,0000249_03400_d_0000010.jpg,11058,bus,5,653.0,221.0,18.0,24.0,432.0,18.0,small,96.0,sim960,native,sim640
S0101,104,0000193_01876_d_0000113.jpg,5867,motorcycle,6,441.0,203.0,23.0,16.0,368.0,16.0,small,92.0,sim960,sim640,native
S0102,376,0000296_00601_d_0000038.jpg,27320,car,3,0.0,244.0,34.0,25.0,850.01,25.0,small,136.0,native,sim640,sim960
S0103,175,0000249_01100_d_0000004.jpg,10683,car,3,506.0,119.0,19.0,8.0,152.0,8.0,tiny,76.0,native,sim640,sim960
S0104,323,0000289_04001_d_0000831.jpg,19917,person,1,549.0,2.0,11.0,21.0,230.99,11.0,tiny,84.0,native,sim960,sim640
S0105,354,0000291_03401_d_0000885.jpg,23458,motorcycle,6,906.0,95.0,30.0,34.0,1020.0,30.0,small,136.0,sim960,native,sim640
S0106,67,0000116_01059_d_0000085.jpg,3129,motorcycle,6,512.0,315.0,7.0,22.0,154.01,7.0,micro,88.0,sim640,sim960,native
S0107,356,0000291_03801_d_0000887.jpg,23783,person,1,218.0,130.0,21.0,48.0,1007.99,21.0,small,192.0,native,sim960,sim640
S0108,509,0000359_00393_d_0000701.jpg,36958,person,1,651.0,208.0,17.0,33.0,561.0,17.0,small,132.0,native,sim960,sim640
S0109,426,0000327_04001_d_0000731.jpg,30929,bus,5,386.0,75.0,37.0,15.0,555.01,15.0,tiny,148.0,native,sim640,sim960
S0110,498,0000356_02941_d_0000644.jpg,36033,motorcycle,6,1266.0,151.0,12.0,15.0,180.01,12.0,tiny,64.0,sim960,native,sim640
S0111,375,0000295_02900_d_0000034.jpg,27208,car,3,604.0,168.0,7.0,7.0,49.0,7.0,micro,64.0,sim960,sim640,native
S0112,275,0000280_02401_d_0000624.jpg,17389,bus,5,667.0,118.0,10.0,13.0,130.0,10.0,tiny,64.0,sim640,native,sim960
S0113,88,0000155_00401_d_0000001.jpg,4689,motorcycle,6,467.0,136.0,6.0,6.0,36.0,6.0,micro,64.0,sim960,native,sim640
S0114,92,0000155_01871_d_0000001.jpg,5070,car,3,325.0,142.0,12.0,17.0,204.0,12.0,tiny,68.0,sim960,native,sim640
S0115,436,0000330_01601_d_0000808.jpg,31990,car,3,308.0,165.0,21.0,22.0,461.99,21.0,small,88.0,sim640,native,sim960
S0116,137,0000220_01242_d_0000004.jpg,8544,bus,5,813.0,234.0,21.0,27.0,566.97,21.0,small,108.0,native,sim960,sim640
S0117,380,0000301_00201_d_0000157.jpg,27763,car,3,347.0,132.0,43.0,20.0,860.02,20.0,small,172.0,sim640,sim960,native
S0118,274,0000280_02201_d_0000623.jpg,17300,car,3,641.0,143.0,10.0,9.0,90.0,9.0,tiny,64.0,sim640,native,sim960
S0119,234,0000276_03801_d_0000526.jpg,14474,car,3,809.0,155.0,7.0,5.0,35.0,5.0,micro,64.0,sim640,sim960,native
S0120,220,0000276_00601_d_0000510.jpg,13907,truck,4,796.0,63.0,16.0,25.0,400.01,16.0,small,100.0,native,sim960,sim640
